Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Year,Month,Day,Hour,Minute
0,0,0,350,120,3,65,Fraud,2023,1,6,11,20
1,1,2,120,100,3,78,Fraud,2023,1,7,14,55
2,1,2,0,0,3,53,Not Fraud,2023,1,8,18,25
5,1,0,350,120,3,92,Fraud,2023,1,9,2,5
6,0,1,140,100,3,60,Fraud,2023,1,10,6,35
4,1,1,160,100,3,105,Fraud,2023,1,11,10,0
3,0,0,180,160,3,70,Fraud,2023,1,12,15,40
0,1,0,350,90,3,88,Fraud,2023,1,13,20,15
1,0,2,120,0,3,45,Fraud,2023,1,14,1,55
2,1,2,0,0,3,72,Not Fraud,2023,1,15,7,30
5,0,0,350,120,3,58,Fraud,2023,1,16,12,10
6,1,1,140,120,3,81,Fraud,2023,1,17,17,45
4,0,1,160,120,3,67,Fraud,2023,1,18,22,20
3,1,0,180,180,3,98,Not Fraud,2023,1,19,4,0
0,0,0,350,120,3,50,Fraud,2023,1,20,8,30
1,1,2,120,90,3,75,Fraud,2023,1,21,13,10
2,1,2,0,0,3,62,Not Fraud,2023,1,22,16,45
5,1,0,350,120,3,84,Fraud,2023,1,23,22,25
6,0,1,140,120,3,55,Fraud,2023,1,24,2,55
4,1,1,160,160,3,80,Not Fraud,2023,1,25,7,35
3,0,0,180,100,3,68,Fraud,2023,1,26,12,10
0,1,0,350,350,3,90,Not Fraud,2023,1,27,15,45
1,0,2,120,90,3,48,Fraud,2023,1,28,21,25
2,1,2,0,0,3,77,Not Fraud,2023,1,29,3,5
5,0,0,350,120,3,63,Fraud,2023,1,30,7,35
6,1,1,140,140,3,87,Not Fraud,2023,1,31,11,10
4,0,1,160,100,3,52,Fraud,2023,2,1,16,50
3,1,0,180,120,3,95,Fraud,2023,2,2,21,25
0,0,0,350,350,3,73,Not Fraud,2023,2,3,3,5
1,1,2,120,120,3,82,Not Fraud,2023,2,4,8,40
2,1,2,0,0,3,57,Not Fraud,2023,2,5,13,20
5,1,0,350,350,3,96,Not Fraud,2023,2,6,18,55
6,0,1,140,100,3,66,Fraud,2023,2,7,23,30
4,1,1,160,160,3,89,Not Fraud,2023,2,8,5,10
3,0,0,180,120,3,51,Fraud,2023,2,9,9,40
0,1,0,350,350,3,76,Not Fraud,2023,2,10,14,20
1,0,2,120,0,3,61,Fraud,2023,2,11,17,55
2,1,2,0,0,3,85,Not Fraud,2023,2,12,23,35
5,0,0,350,350,3,74,Not Fraud,2023,2,13,4,5
6,1,1,140,90,3,93,Fraud,2023,2,14,8,45
4,0,1,160,120,3,49,Fraud,2023,2,15,13,20
3,1,0,180,180,3,83,Not Fraud,2023,2,16,16,55
0,0,0,350,90,3,59,Fraud,2023,2,17,22,35
1,1,2,120,90,3,91,Fraud,2023,2,18,4,15
2,1,2,0,0,3,71,Not Fraud,2023,2,19,8,45
5,1,0,350,140,3,86,Fraud,2023,2,20,13,25
6,0,1,140,90,3,56,Fraud,2023,2,21,18,0
4,1,1,160,160,3,79,Not Fraud,2023,2,22,22,35
3,0,0,180,180,3,64,Not Fraud,2023,2,23,4,15
0,1,0,350,120,3,97,Fraud,2023,2,24,8,50
1,0,2,120,120,3,69,Not Fraud,2023,2,25,13,30
2,1,2,0,0,3,94,Not Fraud,2023,2,26,18,5
5,0,0,350,100,3,54,Fraud,2023,2,27,23,40
6,1,1,140,140,3,81,Not Fraud,2023,2,28,5,20
4,0,1,160,90,3,65,Fraud,2023,3,1,9,50
3,1,0,180,180,3,92,Not Fraud,2023,3,2,14,30
0,0,0,350,350,3,50,Not Fraud,2023,3,3,18,5
1,1,2,120,90,3,75,Fraud,2023,3,4,23,45
